"Los Angeles, CA - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Ladera Heights,city,All Homes,"$1,419,000",1.0%,3.2%,6.6%,9.8%,7.5%,---,---,---,---,"$4,470",0.9%,3.2%,6.6%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$4,756",-2.0%,-4.2%,3.7%
Lake Hughes,city,All Homes,"$297,800",0.6%,1.5%,4.8%,8.4%,5.4%,---,---,---,---,$226,0.9%,1.8%,5.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,438",0.2%,-2.4%,2.3%
Lakewood,city,All Homes,"$614,400",1.2%,3.2%,5.8%,5.5%,4.1%,4.1%,-1.9%,-7.2%,-9.5%,$927,1.2%,3.1%,5.7%,6.2%,5.4%,3.8%,4.5%,"$600,000",0.0%,0.8%,4.0%,---,---,---,---,$458,1.2%,1.7%,5.6%,"$2,650",-2.8%,-3.6%,3.9%,$2.19,3.3%,2.6%,6.6%,---,---,---,---,"$2,735",0.2%,0.7%,3.7%
Lancaster,city,All Homes,"$310,300",1.1%,3.1%,6.6%,8.6%,7.7%,11.6%,4.2%,-1.6%,-3.6%,$561,1.1%,3.1%,6.7%,2.7%,0.2%,0.5%,0.3%,"$305,000",1.6%,1.7%,5.5%,---,---,---,---,$176,0.0%,0.1%,2.9%,"$1,850",-2.5%,-1.7%,2.6%,$1.15,7.9%,1.2%,7.4%,0.44,-0.2%,-0.2%,-0.7%,"$2,033",-0.8%,1.2%,4.6%
Lawndale,city,All Homes,"$627,400",1.0%,2.5%,7.7%,6.9%,5.7%,---,---,---,---,"$1,248",1.0%,2.5%,7.7%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,745",-0.5%,-0.6%,3.1%
Littlerock,city,All Homes,"$298,000",1.1%,3.0%,5.5%,8.9%,7.8%,---,---,---,---,$491,1.0%,2.9%,5.4%,---,---,---,---,"$313,500",1.1%,4.5%,4.5%,"$332,300",5.8%,23.2%,16.6%,$212,-2.7%,-1.2%,6.7%,---,---,---,---,---,---,---,---,5.8,2.9%,2.9%,2.9%,"$1,938",-1.6%,-0.6%,4.7%
Llano,city,All Homes,"$283,600",0.9%,2.0%,5.3%,8.1%,4.5%,---,---,---,---,"$1,818",0.9%,2.0%,5.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---
Lomita,city,All Homes,"$723,400",1.3%,3.4%,6.5%,5.4%,4.2%,---,---,---,---,"$1,116",1.3%,3.3%,6.5%,---,---,---,---,"$750,000",3.4%,18.4%,15.6%,"$705,500",1.1%,15.4%,18.5%,$464,2.8%,7.0%,19.0%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,993",0.5%,-0.1%,2.7%
Long Beach,city,All Homes,"$629,200",1.0%,2.8%,5.6%,5.9%,4.9%,11.5%,5.3%,-4.3%,-4.6%,"$1,186",0.9%,2.8%,5.6%,2.4%,-0.1%,-0.3%,0.3%,"$599,000",1.5%,0.0%,3.3%,---,---,---,---,$480,1.2%,1.9%,4.6%,"$2,350",-1.2%,0.0%,2.4%,$2.37,2.4%,2.7%,0.8%,0.63,0.5%,0.3%,0.3%,"$2,684",0.1%,1.6%,3.7%
Lynwood,city,All Homes,"$473,600",1.3%,3.6%,8.9%,7.6%,7.1%,---,---,---,---,$602,1.2%,3.6%,8.9%,---,---,---,---,"$449,900",-2.1%,-4.3%,2.3%,---,---,---,---,$418,3.9%,3.2%,18.5%,---,---,---,---,---,---,---,---,1.37,---,---,---,"$2,486",0.3%,---,3.9%
Malibu,city,All Homes,"$3,172,100",0.8%,2.1%,5.4%,10.3%,9.7%,10.7%,6.8%,-2.0%,1.3%,"$3,999",0.8%,2.1%,5.4%,5.6%,1.9%,-0.5%,1.9%,"$3,288,000",-0.2%,2.8%,-6.1%,---,---,---,---,"$1,137",-2.9%,-5.8%,-5.5%,"$14,990",0.6%,7.1%,-9.2%,$6.05,1.9%,-1.4%,-9.9%,0,---,---,---,"$8,264",-0.4%,-5.8%,-13.2%
Manhattan Beach,city,All Homes,"$2,641,900",1.4%,3.9%,11.1%,17.1%,15.6%,10.4%,6.2%,-14.8%,-6.6%,"$3,440",1.4%,3.9%,11.1%,---,---,---,---,"$2,899,000",3.5%,3.6%,19.6%,"$2,272,700",-3.9%,-3.3%,6.9%,"$1,222",0.0%,0.8%,10.5%,"$7,150",-4.7%,3.2%,2.3%,$4.07,-2.0%,-0.2%,7.4%,0,---,---,---,"$7,265",-2.0%,-5.5%,-2.4%
Marina del Rey,city,All Homes,"$1,147,900",-0.8%,-2.9%,-9.1%,4.6%,---,---,---,---,---,$843,-0.7%,-2.9%,-9.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Maywood,city,All Homes,"$461,400",1.1%,3.2%,7.3%,7.0%,6.6%,---,---,---,---,$432,1.2%,3.3%,7.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,429",0.2%,1.0%,3.7%
Monrovia,city,All Homes,"$744,000",1.2%,2.8%,3.4%,4.6%,4.2%,8.3%,0.3%,-7.7%,-1.3%,$863,1.2%,2.7%,3.4%,2.5%,-0.7%,-0.2%,-1.2%,"$764,300",-0.9%,1.9%,8.0%,"$740,500",2.0%,2.9%,13.9%,$482,1.6%,0.3%,1.8%,"$2,500",-3.8%,-4.8%,-3.8%,$2.00,5.0%,7.8%,9.1%,0,---,---,---,"$2,787",-0.0%,1.1%,4.0%
Montebello,city,All Homes,"$576,100",1.1%,3.2%,5.9%,5.9%,4.8%,9.2%,4.6%,-8.1%,-4.1%,"$1,176",1.1%,3.2%,5.9%,---,---,---,---,"$532,000",-0.0%,-2.6%,-2.4%,"$564,300",3.3%,11.6%,7.0%,$360,-2.7%,-1.0%,-0.6%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,665",2.0%,1.1%,4.5%
Monterey Park,city,All Homes,"$689,800",1.1%,2.6%,4.2%,4.8%,4.2%,5.6%,0.4%,-4.1%,-7.5%,$471,1.1%,2.6%,4.2%,---,---,---,---,"$700,000",0.0%,0.3%,1.1%,"$712,200",8.1%,13.6%,6.0%,$451,0.3%,1.0%,1.5%,"$2,800",0.0%,0.0%,-1.8%,$1.81,-5.4%,-6.8%,-2.4%,---,---,---,---,"$2,804",0.3%,1.7%,4.3%
Norwalk,city,All Homes,"$514,700",1.2%,3.1%,5.7%,6.0%,5.7%,6.9%,-0.2%,-2.2%,-4.8%,$711,1.1%,3.0%,5.6%,1.1%,0.1%,-0.7%,-0.8%,"$495,000",-0.8%,1.9%,1.4%,"$507,000",-1.6%,2.0%,4.0%,$403,-2.4%,0.1%,1.5%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,527",---,1.3%,4.3%
Palmdale,city,All Homes,"$340,300",1.1%,2.9%,6.2%,8.0%,7.8%,11.0%,4.0%,-0.2%,-6.1%,$461,1.1%,2.9%,6.2%,2.5%,0.3%,0.2%,0.5%,"$340,000",0.4%,3.0%,4.6%,"$340,900",1.8%,5.6%,8.5%,$184,-0.1%,0.1%,1.8%,"$1,950",-2.3%,-7.1%,0.0%,$1.08,5.4%,1.5%,2.0%,---,---,---,---,"$2,124",-0.1%,3.0%,4.1%
Palos Verdes Estates,city,All Homes,"$2,137,800",1.1%,3.0%,8.8%,9.5%,7.7%,---,---,---,---,"$2,281",1.1%,3.0%,8.8%,---,---,---,---,"$2,560,000",11.4%,16.4%,0.9%,---,---,---,---,$744,-6.0%,-5.2%,-8.8%,---,---,---,---,---,---,---,---,0,---,---,---,"$6,692",-1.0%,-3.1%,-4.5%
Palos Verdes Peninsula,city,All Homes,"$1,654,400",0.6%,1.4%,0.7%,5.3%,4.4%,---,---,---,---,$641,0.6%,1.4%,0.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Paramount,city,All Homes,"$464,900",1.2%,3.4%,7.5%,7.5%,6.9%,---,---,---,---,$760,1.2%,3.4%,7.5%,---,---,---,---,"$392,500",-1.5%,1.3%,1.4%,---,---,---,---,$357,-1.3%,1.4%,1.8%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,418",-0.2%,1.6%,5.4%
Pasadena,city,All Homes,"$877,200",1.1%,2.7%,4.1%,5.2%,4.6%,10.2%,2.1%,-3.4%,-4.2%,"$1,961",1.0%,2.7%,4.1%,3.7%,0.5%,0.4%,0.1%,"$899,500",0.1%,0.1%,2.3%,"$843,200",-0.2%,4.3%,1.4%,$584,0.3%,-2.0%,-1.2%,"$2,850",0.9%,-1.6%,2.2%,$2.38,0.0%,-2.3%,1.2%,---,---,---,---,"$3,031",-0.5%,-0.2%,2.9%
Pearblossom,city,All Homes,"$278,300",0.7%,1.9%,3.6%,7.1%,5.1%,---,---,---,---,$192,0.5%,1.6%,3.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Pico Rivera,city,All Homes,"$517,400",1.3%,3.4%,6.2%,6.2%,5.6%,13.6%,7.9%,4.7%,-4.4%,$564,1.3%,3.3%,6.2%,---,---,---,---,"$519,500",-0.1%,4.1%,5.5%,"$522,400",0.2%,4.5%,13.7%,$377,2.9%,0.5%,0.9%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,537",---,1.8%,5.6%
Pinon Hills,city,All Homes,"$305,000",1.0%,2.2%,5.2%,6.8%,6.2%,---,---,---,---,"$1,724",1.0%,2.2%,5.1%,---,---,---,---,"$325,000",0.0%,-7.7%,8.5%,---,---,---,---,$168,-1.6%,-1.5%,1.4%,---,---,---,---,---,---,---,---,---,---,---,---,"$1,645",0.1%,5.3%,7.0%
Pomona,city,All Homes,"$461,000",1.0%,2.9%,6.2%,6.1%,6.6%,7.9%,0.3%,-5.5%,-7.9%,$934,1.1%,2.9%,6.3%,1.6%,-0.1%,-0.4%,-0.7%,"$474,300",1.1%,2.9%,7.8%,"$456,900",-0.0%,1.7%,9.4%,$320,2.8%,1.0%,2.8%,"$2,200",-2.2%,2.3%,0.0%,$1.49,-5.3%,-4.8%,1.3%,0.76,0.4%,-0.4%,0.4%,"$2,367",0.8%,0.2%,6.0%
Rancho Palos Verdes,city,All Homes,"$1,360,000",0.6%,1.7%,3.1%,3.8%,3.9%,12.0%,4.3%,-7.0%,-0.3%,"$1,231",0.7%,1.7%,3.1%,2.0%,0.1%,-0.5%,-1.3%,"$1,434,500",2.5%,4.3%,6.3%,"$1,345,800",10.8%,18.9%,13.9%,$586,1.4%,2.8%,4.7%,"$4,230",-0.6%,-0.6%,3.7%,$2.14,1.9%,0.6%,2.6%,0,---,---,---,"$4,433",-1.8%,-3.8%,-5.2%
Redondo Beach,city,All Homes,"$1,118,900",0.9%,2.5%,4.4%,5.7%,4.7%,10.2%,4.1%,-6.2%,-5.0%,"$1,527",0.9%,2.6%,4.4%,3.6%,2.4%,0.8%,1.3%,"$1,150,000",2.8%,4.6%,4.6%,---,---,---,---,$610,-0.5%,0.2%,1.4%,"$3,600",0.0%,2.9%,2.9%,$2.50,0.8%,-0.5%,-1.7%,---,---,---,---,"$3,656",-1.7%,-3.1%,-0.8%
Rolling Hills,city,All Homes,"$3,173,400",0.2%,0.9%,0.8%,4.2%,5.9%,---,---,---,---,$827,0.2%,1.0%,0.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Rolling Hills Estates,city,All Homes,"$1,440,000",0.9%,2.4%,3.6%,5.6%,5.3%,---,---,---,---,$661,0.9%,2.5%,3.6%,---,---,---,---,"$1,425,000",-6.5%,-14.3%,-32.0%,---,---,---,---,$652,-0.2%,-2.2%,1.8%,---,---,---,---,---,---,---,---,0,---,---,---,"$4,589",-1.4%,-3.1%,-8.2%
Rosemead,city,All Homes,"$638,300",1.1%,2.8%,4.4%,5.1%,4.5%,---,---,---,---,$508,1.2%,2.8%,4.5%,---,---,---,---,"$695,000",1.5%,6.9%,6.9%,"$637,800",-0.2%,5.2%,0.7%,$423,-5.8%,-11.2%,3.6%,---,---,---,---,---,---,---,---,0,---,---,-2.1%,"$2,653",1.3%,0.7%,4.4%
Rowland Heights,city,All Homes,"$687,100",0.8%,2.1%,3.1%,3.2%,3.9%,13.0%,2.4%,-7.4%,-2.5%,"$1,045",0.8%,2.1%,3.1%,---,---,---,---,"$796,500",1.1%,6.2%,3.7%,"$687,400",1.7%,11.1%,6.0%,$367,-1.3%,-3.7%,-5.4%,"$2,750",0.0%,0.9%,-1.8%,$1.56,5.4%,1.0%,13.0%,---,---,---,---,"$2,767",-1.0%,1.0%,4.0%
San Dimas,city,All Homes,"$649,200",1.0%,2.5%,4.3%,4.2%,4.3%,6.3%,3.1%,-13.6%,-11.4%,"$1,277",0.9%,2.5%,4.3%,---,---,---,---,"$677,500",3.0%,1.1%,8.7%,---,---,---,---,$368,-2.1%,2.6%,0.1%,"$2,650",-1.9%,-3.5%,6.1%,$1.60,0.0%,-0.3%,-1.9%,0,---,---,-1.1%,"$2,639",-1.2%,-0.5%,2.5%
San Fernando,city,All Homes,"$526,500",1.9%,5.0%,9.1%,7.5%,7.6%,---,---,---,---,"$1,373",1.9%,5.0%,9.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,654",1.1%,-0.2%,2.5%
San Gabriel,city,All Homes,"$801,300",1.1%,2.6%,3.1%,4.1%,4.2%,11.8%,4.3%,-8.3%,-7.2%,$528,1.1%,2.7%,3.1%,---,---,---,---,"$835,000",3.2%,4.5%,7.9%,---,---,---,---,$494,4.0%,1.8%,4.1%,"$2,750",-1.8%,1.9%,5.8%,$1.86,4.2%,-0.3%,2.0%,---,---,---,---,"$2,900",-0.8%,1.5%,2.7%
San Marino,city,All Homes,"$2,350,800",1.4%,4.3%,16.7%,17.8%,17.4%,---,---,---,---,"$1,483",1.4%,4.4%,16.7%,---,---,---,---,"$2,699,000",-3.6%,-5.1%,-15.1%,---,---,---,---,$864,-0.3%,-5.1%,-12.5%,---,---,---,---,---,---,---,---,---,---,---,---,"$7,240",-2.0%,-5.2%,-3.2%
Santa Clarita,city,All Homes,"$580,700",1.0%,2.6%,4.7%,4.9%,4.3%,9.0%,2.3%,-6.4%,-7.8%,$848,1.0%,2.5%,4.7%,1.8%,-0.1%,0.1%,0.0%,"$569,900",-1.3%,-1.4%,-0.0%,---,---,---,---,$313,1.3%,0.2%,2.0%,"$2,650",6.0%,3.9%,2.1%,$1.89,-0.1%,3.4%,7.7%,0.16,-0.5%,-0.7%,-0.5%,"$2,889",0.6%,-1.8%,1.1%
Santa Fe Springs,city,All Homes,"$537,200",1.1%,2.9%,6.2%,5.9%,5.4%,---,---,---,---,$410,1.0%,2.8%,6.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,643",---,2.5%,6.8%
Santa Monica,city,All Homes,"$1,738,200",1.3%,3.6%,9.9%,13.1%,10.9%,8.5%,2.7%,-5.8%,-4.7%,"$2,898",1.3%,3.6%,9.9%,4.1%,-0.5%,-0.2%,-1.9%,"$1,849,000",-1.4%,-1.3%,5.7%,---,---,---,---,"$1,127",-0.9%,3.5%,-3.4%,"$5,100",2.0%,2.1%,-3.3%,$4.16,1.5%,-0.5%,-4.0%,---,---,---,---,"$4,882",-2.1%,-4.0%,0.1%
Sierra Madre,city,All Homes,"$1,061,400",0.8%,1.8%,2.9%,4.2%,4.3%,---,---,---,---,"$3,985",0.8%,1.8%,2.9%,---,---,---,---,"$985,000",-10.5%,-0.8%,-2.9%,---,---,---,---,$603,2.8%,2.1%,5.8%,---,---,---,---,---,---,---,---,---,---,---,---,"$3,191",-2.4%,-5.5%,-3.3%
Signal Hill,city,All Homes,"$542,900",0.8%,2.2%,3.8%,4.6%,3.6%,---,---,---,---,"$1,130",0.8%,2.2%,3.8%,---,---,---,---,"$525,000",-0.8%,-4.5%,-4.5%,"$570,200",-1.6%,5.0%,11.3%,$365,-1.7%,1.2%,4.9%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,591",0.2%,1.3%,3.4%
South El Monte,city,All Homes,"$519,800",1.3%,3.4%,4.6%,5.5%,4.9%,---,---,---,---,$433,1.4%,3.3%,4.6%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,427",-0.9%,-0.9%,2.6%
South Gate,city,All Homes,"$483,700",1.4%,3.6%,7.3%,7.1%,6.5%,1.7%,-1.2%,-2.1%,-11.1%,$413,1.5%,3.8%,7.3%,---,---,---,---,"$465,000",2.4%,-0.9%,3.6%,---,---,---,---,$378,-1.0%,-3.4%,-0.0%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,504",0.3%,0.8%,3.9%
South Pasadena,city,All Homes,"$1,232,300",1.2%,3.4%,12.2%,15.5%,12.1%,---,---,---,---,$775,1.3%,3.5%,12.3%,---,---,---,---,"$1,283,000",0.0%,12.5%,0.0%,"$1,346,100",1.6%,9.7%,-1.6%,$776,0.4%,6.3%,14.9%,---,---,---,---,$2.34,-1.4%,-1.0%,-9.4%,0,---,---,---,"$3,806",-0.1%,0.3%,5.5%
South San Jose Hills,city,All Homes,"$479,500",1.2%,2.9%,6.4%,6.4%,6.6%,---,---,---,---,$987,1.2%,3.0%,6.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,308",---,-1.9%,3.9%
Temple City,city,All Homes,"$780,700",1.0%,2.6%,2.2%,3.7%,4.0%,7.1%,1.1%,-2.8%,-7.7%,$867,1.0%,2.6%,2.2%,---,---,---,---,"$857,500",-1.7%,0.9%,6.7%,"$778,400",-3.0%,-6.3%,4.4%,$516,1.7%,2.5%,1.4%,"$2,700",1.7%,-3.7%,1.7%,$1.87,3.5%,2.5%,0.2%,0,---,---,---,"$2,841",-0.6%,-0.3%,1.3%
Topanga,city,All Homes,"$1,299,100",0.6%,1.0%,-1.5%,4.4%,3.4%,---,---,---,---,$817,0.6%,1.0%,-1.6%,---,---,---,---,"$1,510,000",-2.9%,8.9%,-9.7%,---,---,---,---,$851,5.7%,-0.0%,3.9%,---,---,---,---,---,---,---,---,0,---,---,-5.4%,---,---,---,---
Torrance,city,All Homes,"$879,800",0.9%,2.5%,5.1%,4.9%,4.0%,10.6%,3.5%,-3.3%,-3.1%,$951,1.0%,2.6%,5.2%,2.6%,-0.0%,-0.1%,0.4%,"$850,000",0.1%,0.0%,7.5%,"$853,900",2.3%,1.9%,7.7%,$541,-1.4%,-3.9%,3.3%,"$3,300",1.5%,3.1%,0.0%,$2.28,-0.0%,1.6%,-0.9%,0,---,---,-0.6%,"$3,260",-1.0%,-0.4%,0.6%
Valinda,city,All Homes,"$534,800",1.3%,3.1%,5.7%,5.9%,5.5%,---,---,---,---,"$1,269",1.3%,3.1%,5.8%,---,---,---,---,"$535,000",4.3%,7.0%,5.2%,---,---,---,---,$387,3.4%,5.0%,6.5%,---,---,---,---,---,---,---,---,0,-2.4%,---,---,"$2,467",0.3%,0.8%,4.7%
Valyermo,city,All Homes,"$240,600",0.4%,1.6%,3.1%,7.1%,3.1%,---,---,---,---,$172,0.6%,1.8%,3.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Vernon,city,All Homes,"$1,258,200",0.0%,0.9%,0.3%,---,---,---,---,---,---,$159,0.0%,0.6%,0.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
View Park-Windsor Hills,city,All Homes,"$1,005,100",1.6%,4.4%,11.3%,10.1%,7.9%,---,---,---,---,"$1,908",1.6%,4.4%,11.3%,---,---,---,---,"$1,012,500",-2.4%,-2.4%,4.5%,"$907,100",2.2%,-10.4%,-4.5%,$471,-1.0%,0.8%,-0.4%,---,---,---,---,---,---,---,---,---,---,---,---,"$3,544",-1.2%,-1.4%,7.3%
Walnut,city,All Homes,"$783,000",0.9%,2.1%,1.8%,1.4%,3.2%,11.2%,4.0%,-7.7%,-5.2%,"$2,167",0.8%,2.1%,1.8%,---,---,---,---,"$997,900",3.0%,1.0%,5.6%,---,---,---,---,$432,2.3%,2.7%,5.0%,"$2,950",0.0%,-1.7%,0.0%,$1.54,-0.1%,0.3%,6.1%,---,---,---,---,"$2,984",---,-0.0%,2.1%
West Athens,city,All Homes,"$557,500",1.4%,3.8%,8.4%,8.7%,6.6%,---,---,---,---,$379,1.3%,3.6%,8.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,758",0.0%,0.1%,4.3%
West Carson,city,All Homes,"$588,900",1.1%,3.1%,6.2%,6.4%,5.3%,---,---,---,---,$814,1.1%,3.2%,6.3%,---,---,---,---,"$509,900",2.0%,-3.8%,6.3%,"$516,000",1.3%,5.8%,-3.9%,$426,3.7%,9.5%,2.6%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,782",0.9%,1.1%,4.7%
West Compton,city,All Homes,"$507,500",1.8%,4.8%,8.7%,7.3%,6.8%,---,---,---,---,$403,2.0%,4.9%,8.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
West Covina,city,All Homes,"$594,400",1.0%,2.7%,4.1%,5.0%,4.8%,6.3%,1.8%,-6.1%,-13.0%,"$1,567",1.1%,2.7%,4.1%,3.4%,1.4%,1.0%,0.7%,"$598,600",-0.1%,0.3%,1.5%,"$587,300",2.8%,1.5%,5.6%,$362,1.5%,1.4%,-2.4%,"$2,450",-0.8%,-1.4%,2.1%,$1.65,-0.0%,0.1%,5.2%,---,---,---,---,"$2,532",-0.6%,-0.9%,1.8%
West Hollywood,city,All Homes,"$925,200",0.8%,2.0%,3.7%,5.2%,4.5%,13.0%,8.1%,-2.0%,1.1%,"$1,160",0.8%,1.9%,3.7%,3.9%,0.2%,0.0%,0.9%,"$1,257,500",-0.6%,14.3%,0.6%,---,---,---,---,$864,-1.1%,0.2%,-1.9%,"$4,700",-2.6%,4.4%,9.4%,$3.89,-0.8%,0.8%,3.1%,---,---,---,---,"$3,432",0.7%,-0.3%,2.0%
West Puente Valley,city,All Homes,"$512,000",1.4%,3.8%,5.4%,6.0%,5.7%,---,---,---,---,$771,1.4%,3.8%,5.5%,---,---,---,---,"$501,600",0.5%,2.6%,2.4%,---,---,---,---,$396,-0.4%,3.5%,1.0%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,424",---,0.1%,4.9%
Westlake Village,city,All Homes,"$1,075,100",0.1%,0.6%,2.1%,3.5%,3.6%,11.9%,1.5%,-7.7%,-0.3%,$474,0.0%,0.6%,2.2%,1.9%,-0.7%,-1.0%,-0.9%,"$1,329,000",12.9%,2.3%,-4.9%,---,---,---,---,$522,2.0%,0.5%,1.1%,"$4,550",3.4%,9.6%,4.6%,$2.34,-3.7%,3.5%,-9.0%,0,---,---,---,"$4,190",-0.5%,-2.9%,1.4%
Westmont,city,All Homes,"$525,300",1.6%,4.5%,9.8%,9.5%,7.8%,---,---,---,---,"$2,081",1.6%,4.6%,9.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,571",-0.0%,-1.8%,1.5%
Whittier,city,All Homes,"$572,400",1.2%,3.1%,5.5%,5.4%,5.0%,8.1%,4.6%,-3.8%,-8.3%,"$1,217",1.2%,3.1%,5.6%,2.9%,-0.1%,0.4%,0.5%,"$572,500",0.4%,3.2%,5.0%,---,---,---,---,$386,-2.5%,-2.2%,2.6%,"$2,540",1.8%,0.8%,8.3%,$1.98,1.6%,2.9%,10.0%,0.32,---,-0.3%,---,"$2,685",2.4%,1.8%,5.1%
Willowbrook,city,All Homes,"$462,000",1.4%,3.7%,9.4%,9.7%,8.5%,---,---,---,---,$388,1.3%,3.5%,9.3%,---,---,---,---,"$455,000",1.4%,2.4%,5.8%,---,---,---,---,$394,9.0%,15.8%,9.9%,---,---,---,---,---,---,---,---,2.63,---,---,---,"$2,464",-1.4%,-2.4%,0.8%
Wrightwood,city,All Homes,"$309,400",0.7%,1.5%,2.7%,5.1%,3.8%,---,---,---,---,$560,0.7%,1.4%,2.8%,---,---,---,---,"$372,500",8.8%,8.9%,8.3%,"$319,600",1.4%,8.0%,6.5%,$231,-1.0%,1.8%,7.4%,---,---,---,---,---,---,---,---,---,---,---,---,"$1,640",-1.6%,-0.1%,4.3%
